APARCAMIENTO,EventTime,EventDesc
VEGUETA,01/05/2023 13:49,SALIDA
VEGUETA,01/05/2023 13:49,ENTRADA
VEGUETA,01/05/2023 13:49,SALIDA
VEGUETA,01/05/2023 13:49,SALIDA
VEGUETA,01/05/2023 13:51,SALIDA
VEGUETA,01/05/2023 13:53,SALIDA
VEGUETA,01/05/2023 13:54,ENTRADA
VEGUETA,01/05/2023 13:54,SALIDA
VEGUETA,01/05/2023 13:54,SALIDA
VEGUETA,01/05/2023 13:55,SALIDA
VEGUETA,01/05/2023 13:55,SALIDA
VEGUETA,01/05/2023 13:59,SALIDA
VEGUETA,01/05/2023 14:00,SALIDA
VEGUETA,01/05/2023 14:01,SALIDA
VEGUETA,01/05/2023 14:01,ENTRADA
VEGUETA,01/05/2023 14:02,SALIDA
VEGUETA,01/05/2023 14:02,ENTRADA
VEGUETA,01/05/2023 14:03,ENTRADA
VEGUETA,01/05/2023 14:04,ENTRADA
VEGUETA,01/05/2023 14:06,SALIDA
VEGUETA,01/05/2023 14:06,ENTRADA
VEGUETA,01/05/2023 14:07,ENTRADA
VEGUETA,01/05/2023 14:08,ENTRADA
VEGUETA,01/05/2023 14:09,SALIDA
VEGUETA,01/05/2023 14:10,SALIDA
VEGUETA,01/05/2023 14:10,SALIDA
VEGUETA,01/05/2023 14:15,ENTRADA
VEGUETA,01/05/2023 14:16,SALIDA
VEGUETA,01/05/2023 14:18,SALIDA
VEGUETA,01/05/2023 14:20,ENTRADA
VEGUETA,01/05/2023 14:20,SALIDA
VEGUETA,01/05/2023 14:25,ENTRADA
VEGUETA,01/05/2023 14:25,SALIDA
